CrsId,OrgCode,CrsCode,CrsName,CreditHours,GradeCode
1,005801,DEVELOPMENT,Leadership,3,T
2,005801,MILITARYPOLICE,Wellness/Fitness,3,T
3,006001,BMFT601,Pre-Internship,3,T
4,006001,BMFT610,PreMarriage & Marriage Therapy,3,T
5,006001,BMFT639,Family Theory/Gen Systems,3,T
6,006001,BMFT662,Family Life Cycle,3,T
7,006001,ENG500,GS:Memoir & Poetry,3,T
8,006001,ENGL523,Poetry Workshop,3,T
9,006001,ENGL613,Literary Theory and Faith,3,T
10,006001,ENGL640,ST: Mythology,3,T
11,005001,ACCT2101,Principles of Accounting I,3,T
12,005001,COMM1110,Public Speaking,3,T
13,005001,ECON2105,Macroeconomics,3,T
14,005001,ECON2106,Microeconomics,3,T
15,005001,ENGL1101,Composition I,3,T
16,005001,ENGL1102,Composition II,3,T
17,005001,ENGL2114,World Literature,3,T
18,005001,HIST2111,US History I,3,T
19,005001,MATH111,College Algebra,3,T
20,005001,MATH1113,Pre Calculus Math,4,T
21,005001,MATH2053,Calculus I,4,T
22,005001,PHED1100,Health&Wellness,2,T
23,005001,PHED1180,Varsity Sports I,1,T
24,005001,PHED1190,Varsity Sports II,1,T
25,005001,PHSC1011,Physical Science I,4,T
26,005001,POLS1101,American Government,3,T
27,005001,PSYC1101,General Psychology,3,T
28,005001,SCIE1005,Environmental Science,4,T
29,005001,SPAN1001,Elementary Spanish I,3,T
30,005001,SPAN1002,Elementary Spanish II,3,T
31,001981,IAD230,Survey of Traditional ID,3,T
32,001981,IAD231,Survey of Contemp IAD,3,T
33,004001,AR367,Women Artists in Art History,3,T
34,004001,ED589,Bridgng Wrld Hist,3,T
35,004001,EDRD589,Phonemic Aware/Phonics,3,T
36,004001,EDRD589,Vocab/Word Mean/Knowledg,3,T
37,004001,EDRD730,Teaching Read/Write,3,T
38,004001,SCED559,Sharks and Rays,3,T
39,004001,SCED559,Solar Sys/Earth&Space Science,3,T
40,004001,SCED589,Teaching HS: Biology,3,T
41,004001,SCED559,Sharks & Rays,3,T
42,004001,SCED589,Global Climte Chng/Ed/Mid Sch,3,T
43,004001,TEED589,Computer/Personal Prod,4,T
44,004001,TEED589,Tchg w/WebQuests Grk-12,4,T
45,005002,BIO103,Principles of Biol,4,T
46,005002,BIO104,Principles of Bio B,4,T
47,005002,DAN213,Intermediate Jazz Dance,1,T
48,005002,MTH113,Precalculus Trigon,3,T
49,005327,CS1101,Computer Basics,4,T
50,005327,EN1101,Composition,4,T
51,005327,EN1102,English Composition II,4,T
52,005327,HU2220,"War, Rel and Love in Mid Ages",4,T
53,005327,SC2206,Intro to Physics,4,T
54,005327,VA1401,Intermediate Drawing,3,T
55,005327,VA14010,Figure Drawing II,3,T
56,005327,VA1403,Principles of Design I,3,T
57,005327,VA1404,Principles of Design II,3,T
58,005327,VA1407,Three Dimensional Design,3,T
59,005327,VA1411,Black & White Photography I,3,T
60,005327,VA2413,Landscape Painting,3,T
61,005327,VA2800,Idea Generation & Creative Pro,3,T
62,005327,VA2810,Anatomy,3,T
63,005327,VA3415,Figure Sculpture I,3,T
64,005037,ACC101,Principles of Acco,3,T
65,005037,BIO101,Biological Science,4,T
66,005037,CHM110,College Chemistry,4,T
67,005037,CPT101,Introduction to Com,3,T
68,005037,CPT170,Microcomputer Appl,3,T
69,005037,ECO253,Macroeconomics,3,T
70,005037,ECO254,Microeconomics,3,T
71,005037,ENG101,English Composition,3,T
72,005037,ENG102,English Composition,3,T
73,005037,ENG101,English Comp I,3,T
74,005037,ENG101,English Composition I,3,T
75,005037,ENG102,English Comp II,3,T
76,005037,ENG102,English Composition II,3,T
77,005037,HIS102,Western Civ: Post,3,T
78,005037,HIS201,Amer Hist: Disc to,3,T
79,005037,MAT110,College Algebra,3,T
80,005037,MKT214,Advertising,3,T
81,005037,PSY201,General Psychology,3,T
82,005037,PSY201,General Psychology,3,T
83,005037,REL103,Comparative Religion,3,T
84,005037,SOC101,Introduction to So,3,T
85,005037,SOC101,Introduction to Sociology,3,T
86,005037,SOC101,Sociology,3,T
87,005037,SPA101,Elementary Spanish,4,T
88,005037,THE101,Introduction to Thea,3,T
89,**AL,ARABI101,Arabic I,3,T
90,**AL,ARABI102,Arabic II,3,T
91,001644,ENG101,Composition I,3,T
92,005005,BIOL111,Human Biology,3,T
93,005005,BIOL271,Anatomy&Physiology I,4,T
94,005005,COMM130,Public Speaking,3,T
95,005005,ENG200,Advanced Composition,3,T
96,005005,HSCI260,Nutrition,3,T
97,005005,MATH141,Trigonometry,3,T
98,005005,PSYC420,Abnormal Psych,3,T
99,005006,BUA331,Accounting I,3,T
100,005006,BUS332,Accounting II,3,T
101,005006,EDUC205,Intro to Educ,2,T
102,005006,EDUC305,Prin & Phil Edu,3,T
103,005006,ENG202,World Literature,3,T
104,005006,HPE110,Pers & Com Health,2,T
105,005006,HUM201, Humanities,3,T
106,005006,MUS200,Music Appreciation,2,T
107,005006,PE001,Found & Leisure,2,T
108,005006,PSY305,Adol Psychology,3,T
109,005006,RE107,Biblical Lit,2,T
110,005006,RE108,Biblical Lit,2,T
111,005006,SCI105,Biological Sci,3,T
112,005006,SCI106,Biological Science,3,T
113,005006,SCI203,Soc Science,3,T
114,005006,SCI206,Phy Science,3,T
115,005006,SOC204,Soci Science,3,T
116,001012,SC119,Found for Nat Science I,4,T
117,006006,CHEM1375,Integrated Chemistry I,3,T
118,006006,ECON2301,Principles of Economics I,3,T
119,006006,ENGL1301,Freshman Composition I,3,T
120,006006,ENGL1302,Freshman Composition II,3,T
121,006006,GOVT2305,Government of the US,3,T
122,006006,GOVT2306,Government of Texas & US,3,T
123,006006,HIST1302,History of the US II,3,T
124,006006,PHED1331,Essential Elem-Wellness Chd,3,T
125,006006,RELG1302,The New Testament,3,T
126,006006,SPCH1315,Public Speaking,3,T
127,006006,TECA1303,Family and the community,3,T
128,004987,ART303,Survey British Museums,3.33,T
129,004987,HIS410,US World Affairs,3.33,T
130,004987,HST301,History of London,3.34,T
131,003856,ANTH101,Cultural Anthropology,3,T
132,003856,ANTH102,Cultural Anthropology,3,T
133,003856,ART101,Art Appreciation,3,T
134,003856,BUSI120,Financial Accounting,3,T
135,003856,ECON101,Macroeconomics,3,T
136,003856,ENGL101,Freshman Composition I,3,T
137,003856,GEO102,Physical Geography,3,T
138,003856,GEO103,Cultural Geography,3,T
139,003856,GEOG103,Cultural Geography,3,T
140,003856,HIST101,United States Hist I,3,T
141,003856,HIST102,United States Hist II,3,T
142,003856,HUM102,Western Culture & Society II,3,T
143,003856,HUMA102,West Culture & Soc II,3,T
144,003856,MATH101,College Algebra,3,T
145,003856,MATH130,Calculus I,3,T
146,003856,PHIL101,Philosophy,3,T
147,003856,PHIL150,General Philosophy,3,T
148,003856,POLS101,American Govenment,3,T
149,003856,PSYC105,General Psychology,3,T
150,003856,SOC107,Introduction to Sociology,3,T
151,003856,SOCI107,Intro to Sociology,3,T
152,003856,SPCH102,Public Speaking,3,T
153,002486,BUSN105,Intro to Business,3,T
154,002486,BUSN150,Legal/Ethical Env Busi,3,T
